Time,Time Code,Country Name,Country Code,"Debit cards per 1,000 adults [GPSS_5]",Borrowed from a financial institution or used a credit card (% age 15+) [fin22a_t_d],Made or received digital payments in the past year (% age 15+) [g20_t]
2011,YR2011,Argentina,ARG,775.5392,..,..
2011,YR2011,Australia,AUS,2058.653,..,..
2011,YR2011,Brazil,BRA,1693.976,..,..
2011,YR2011,China,CHN,2407.89,..,..
2011,YR2011,France,FRA,1295.982,..,..
2011,YR2011,Germany,DEU,1496.376,..,..
2011,YR2011,India,IND,262.8067,..,..
2011,YR2011,Indonesia,IDN,361.7952,..,..
2011,YR2011,Japan,JPN,3744.59,..,..
2011,YR2011,"Korea, Rep.",KOR,3357.64,..,..
2011,YR2011,Italy,ITA,735.2662,..,..
2011,YR2011,Mexico,MEX,1016.896,..,..
2011,YR2011,Netherlands,NLD,1771.387,..,..
2011,YR2011,Russian Federation,RUS,1218.15,..,..
2011,YR2011,Saudi Arabia,SAU,709.6118,..,..
2011,YR2011,Switzerland,CHE,1271.816,..,..
2011,YR2011,United States,USA,1146.976,..,..
2011,YR2011,United Kingdom,GBR,811.6986,..,..
2012,YR2012,Argentina,ARG,858.008,..,..
2012,YR2012,Australia,AUS,2115.185,..,..
2012,YR2012,Brazil,BRA,1859.674,..,..
2012,YR2012,China,CHN,2879.632,..,..
2012,YR2012,France,FRA,1495.155,..,..
2012,YR2012,Germany,DEU,1515.123,..,..
2012,YR2012,India,IND,314.9556,..,..
2012,YR2012,Indonesia,IDN,436.9521,..,..
2012,YR2012,Japan,JPN,3765.55,..,..
2012,YR2012,"Korea, Rep.",KOR,3482.538,..,..
2012,YR2012,Italy,ITA,774.9666,..,..
2012,YR2012,Mexico,MEX,1310.636,..,..
2012,YR2012,Netherlands,NLD,1777.417,..,..
2012,YR2012,Russian Federation,RUS,1396.112,..,..
2012,YR2012,Saudi Arabia,SAU,784.6706,..,..
2012,YR2012,Switzerland,CHE,1302.026,..,..
2012,YR2012,United States,USA,1154.507,..,..
2012,YR2012,United Kingdom,GBR,805.9875,..,..
2013,YR2013,Argentina,ARG,942.5132,..,..
2013,YR2013,Australia,AUS,2135.928,..,..
2013,YR2013,Brazil,BRA,1879.071,..,..
2013,YR2013,China,CHN,3420.537,..,..
2013,YR2013,France,FRA,14864.28,..,..
2013,YR2013,Germany,DEU,1503.164,..,..
2013,YR2013,India,IND,367.8389,..,..
2013,YR2013,Indonesia,IDN,495.2923,..,..
2013,YR2013,Japan,JPN,3776.345,..,..
