Time,Time Code,Country Name,Country Code,Electronic payments used to make payments (% age 15+) [GFDD.AI.22],Bank concentration (%) [GFDD.OI.01],Bank net interest margin (%) [GFDD.EI.01]
2000,YR2000,Argentina,ARG,..,32.32473,3.758935
2000,YR2000,Brazil,BRA,..,38.74581,6.399638
2000,YR2000,Australia,AUS,..,68.20748,2.53805
2000,YR2000,China,CHN,..,34.25451,2.413918
2000,YR2000,East Asia & Pacific (IDA total),DEA,..,..,..
2000,YR2000,El Salvador,SLV,..,70.41123,10.43755
2000,YR2000,Europe & Central Asia (IDA total),DEC,..,..,..
2000,YR2000,"Egypt, Arab Rep.",EGY,..,58.43912,1.648397
2000,YR2000,France,FRA,..,56.85839,0.946265
2000,YR2000,Germany,DEU,..,70.23411,1.171033
2000,YR2000,Haiti,HTI,..,..,..
2000,YR2000,Japan,JPN,..,32.23289,1.486815
2000,YR2000,India,IND,..,34.56294,3.266557
2000,YR2000,Indonesia,IDN,..,64.32848,5.077625
2000,YR2000,Italy,ITA,..,75.96104,2.05941
2000,YR2000,"Korea, Rep.",KOR,..,100,2.3437
2000,YR2000,Least developed countries: UN classification,LDC,..,..,..
2000,YR2000,Mexico,MEX,..,57.44442,8.011576
2000,YR2000,Middle East & North Africa (IDA total),DMN,..,..,..
2000,YR2000,Nigeria,NGA,..,27.44961,10.6003
2000,YR2000,Nepal,NPL,..,63.93005,4.128944
2000,YR2000,Netherlands,NLD,..,84.49886,1.202443
2000,YR2000,Pakistan,PAK,..,74.85625,2.852683
2000,YR2000,Philippines,PHL,..,100,..
2000,YR2000,Saudi Arabia,SAU,..,61.06417,3.347876
2000,YR2000,Russian Federation,RUS,..,44.32793,5.256214
2000,YR2000,South Africa,ZAF,..,86.98884,3.762807
2000,YR2000,Spain,ESP,..,69.4521,0.8835245
2000,YR2000,South Asia (IDA total),DSA,..,..,..
2000,YR2000,Switzerland,CHE,..,86.46616,1.266814
2000,YR2000,United States,USA,..,21.45082,3.829482
2000,YR2000,United Kingdom,GBR,..,33.88561,1.260205
2000,YR2000,Vietnam,VNM,..,79.89356,1.722151
2001,YR2001,Argentina,ARG,..,35.19167,9.205601
2001,YR2001,Brazil,BRA,..,39.1104,6.086042
2001,YR2001,Australia,AUS,..,74.34444,1.786959
2001,YR2001,China,CHN,..,46.19952,2.013234
2001,YR2001,East Asia & Pacific (IDA total),DEA,..,..,..
2001,YR2001,El Salvador,SLV,..,72.79671,6.602
2001,YR2001,Europe & Central Asia (IDA total),DEC,..,..,..
2001,YR2001,"Egypt, Arab Rep.",EGY,..,60.80149,1.281595
2001,YR2001,France,FRA,..,59.42126,0.8864716
2001,YR2001,Germany,DEU,..,70.9699,1.085657
2001,YR2001,Haiti,HTI,..,..,..
2001,YR2001,Japan,JPN,..,34.96366,1.228424
2001,YR2001,India,IND,..,34.7914,3.36064
